state_index,frames,start_frame,end_frame,mean_simulons,mean_field_energy,mean_intersections,frame_share,state_probability_for_M
1,125,0,124,49688.0,10873.57175878906,47945.0,0.016534391534391533,0.016534391534391533
2,125,125,249,12127.0,871.6414392361113,9965.0,0.016534391534391533,0.016534391534391533
3,125,250,374,36722.0,8037.925936523437,35143.0,0.016534391534391533,0.016534391534391533
4,125,375,499,32363.0,6275.611724609375,30575.0,0.016534391534391533,0.016534391534391533
5,125,500,624,42934.0,8878.97290798611,41210.0,0.016534391534391533,0.016534391534391533
6,125,625,749,22885.0,4013.592517361111,21280.0,0.016534391534391533,0.016534391534391533
7,125,750,874,15962.0,1748.4785214843748,14093.0,0.016534391534391533,0.016534391534391533
8,125,875,999,4656.0,131.74519596354165,3145.0,0.016534391534391533,0.016534391534391533
9,125,1000,1124,16177.0,2772.582866427952,14680.0,0.016534391534391533,0.016534391534391533
10,125,1125,1249,1797.0,24.271146592881944,1222.0,0.016534391534391533,0.016534391534391533
11,125,1250,1374,14784.0,1531.9207590060764,13186.0,0.016534391534391533,0.016534391534391533
12,125,1375,1499,36272.0,7735.0617830403635,34011.0,0.016534391534391533,0.016534391534391533
13,125,1500,1624,29492.0,5425.887949707031,27681.0,0.016534391534391533,0.016534391534391533
14,125,1625,1749,23649.0,4961.838517252605,21112.0,0.016534391534391533,0.016534391534391533
15,125,1750,1874,28460.0,5225.346644694011,26519.0,0.016534391534391533,0.016534391534391533
16,125,1875,1999,36030.0,7661.425646972656,33790.0,0.016534391534391533,0.016534391534391533
17,125,2000,2124,25723.0,4209.081126302083,23941.0,0.016534391534391533,0.016534391534391533
18,125,2125,2249,14851.0,1424.689703125,12973.0,0.016534391534391533,0.016534391534391533
19,220,2250,2469,4650.0,134.8931306423611,3397.0,0.0291005291005291,0.0291005291005291
20,125,2470,2594,28221.0,5228.999781792534,26437.0,0.016534391534391533,0.016534391534391533
21,125,2595,2719,44959.0,9440.85359375,43197.0,0.016534391534391533,0.016534391534391533
22,125,2720,2844,34355.0,7124.040551432292,32774.0,0.016534391534391533,0.016534391534391533
23,125,2845,2969,39316.0,8197.06976139323,37389.0,0.016534391534391533,0.016534391534391533
24,125,2970,3094,40607.0,8848.635656249999,38883.0,0.016534391534391533,0.016534391534391533
25,125,3095,3219,19286.0,2557.4099497070315,17443.0,0.016534391534391533,0.016534391534391533
26,125,3220,3344,38859.0,9629.820870225694,36320.0,0.016534391534391533,0.016534391534391533
27,125,3345,3469,32967.0,6520.192898871528,31174.0,0.016534391534391533,0.016534391534391533
28,125,3470,3594,12035.0,1113.6284186197918,10172.0,0.016534391534391533,0.016534391534391533
29,125,3595,3719,25181.0,3964.8766630859377,23559.0,0.016534391534391533,0.016534391534391533
30,125,3720,3844,18090.0,2238.1095342881945,16475.0,0.016534391534391533,0.016534391534391533
31,125,3845,3969,21460.0,3002.7492546657986,19844.0,0.016534391534391533,0.016534391534391533
32,125,3970,4094,30336.0,5194.49528889974,28702.0,0.016534391534391533,0.016534391534391533
33,125,4095,4219,29548.0,4978.491893391927,27723.0,0.016534391534391533,0.016534391534391533
34,780,4220,4999,4663.0,120.54764887152778,3532.0,0.10317460317460317,0.10317460317460317
35,125,5000,5124,2607.0,80.9333203125,1250.0,0.016534391534391533,0.016534391534391533
36,125,5125,5249,3760.0,159.0695687934028,2209.0,0.016534391534391533,0.016534391534391533
37,125,5250,5374,73874.0,21782.5639851888,72001.0,0.016534391534391533,0.016534391534391533
38,125,5375,5499,73633.0,21774.98240180121,71615.0,0.016534391534391533,0.016534391534391533
39,125,5500,5624,67391.0,18903.850875,65471.0,0.016534391534391533,0.016534391534391533
40,125,5625,5749,3655.0,117.93436414930557,2200.0,0.016534391534391533,0.016534391534391533
41,125,5750,5874,14044.0,1072.41255859375,12432.0,0.016534391534391533,0.016534391534391533
42,125,5875,5999,14784.0,1531.9207590060764,13186.0,0.016534391534391533,0.016534391534391533
43,125,6000,6124,24918.0,3851.175209201389,23200.0,0.016534391534391533,0.016534391534391533
44,125,6125,6249,12127.0,871.6414392361113,9965.0,0.016534391534391533,0.016534391534391533
45,125,6250,6374,15842.0,1422.211807291667,13656.0,0.016534391534391533,0.016534391534391533
46,125,6375,6499,12241.0,882.8758778211806,10082.0,0.016534391534391533,0.016534391534391533
47,345,6500,6844,16033.0,1781.6268873697916,14430.0,0.04563492063492063,0.04563492063492063
48,300,6845,7144,16181.0,1949.844084960937,14367.0,0.03968253968253968,0.03968253968253968
49,415,7145,7559,78174.0,23368.86649169922,76434.0,0.05489417989417989,0.05489417989417989
